"Index","forecast","lower","upper"
"Jan 2024",4.29334144688137,4.22114428604918,4.37690680901447
"Feb 2024",4.28992847713292,4.1584122872834,4.43374374015738
"Mar 2024",4.22747811983084,4.04100833761792,4.46721301648481
"Apr 2024",4.16250036001381,3.90141388360651,4.43943708655772
"May 2024",4.1091535645519,3.79020227812411,4.44261854522209
"Jun 2024",4.08496642385534,3.7124354271671,4.48857627561958
"Jul 2024",4.0353383071482,3.61433590936073,4.49536048454551
"Aug 2024",4.0459988873263,3.58300835355999,4.56694698524136
"Sep 2024",4.0202530554601,3.50559517864364,4.60123279842313
"Oct 2024",3.98701101432736,3.42106778617468,4.61492335414827
"Nov 2024",3.96125641193077,3.34333016482485,4.62569552537111
"Dec 2024",3.93229635264337,3.27471846323128,4.65273709061888
