"Index","forecast","lower","upper"
"Apr 2023",3.64598307473327,3.53079793129477,3.76116821817177
"May 2023",3.61448749334453,3.42445106567365,3.80452392101541
"Jun 2023",3.55380977520706,3.29744681575331,3.81017273466081
"Jul 2023",3.48171767969347,3.15787195273244,3.8055634066545
"Aug 2023",3.43420922701348,3.03017093155715,3.83824752246981
"Sep 2023",3.40972791611317,2.93549785539607,3.88395797683026
"Oct 2023",3.37794598450322,2.82912633898141,3.92676563002502
"Nov 2023",3.34833279578157,2.73538963296628,3.96127595859685
"Dec 2023",3.32664263278314,2.65209382556211,4.00119144000418
"Jan 2024",3.31335602586963,2.57236666202372,4.05434538971554
"Feb 2024",3.31739878844162,2.51924056647297,4.11555701041028
"Mar 2024",3.33201504176284,2.47940015877898,4.18462992474671
