"Index","forecast","lower","upper"
"Jul 2023",4.24601832359346,4.1634795885732,4.3448850137236
"Aug 2023",4.45875899491375,4.30347145396208,4.62594864973456
"Sep 2023",4.62754554812556,4.41304778074604,4.85797551727935
"Oct 2023",4.77939069460396,4.50552401816359,5.07699419056255
"Nov 2023",4.85193713864661,4.50425403304122,5.22594042387866
"Dec 2023",4.92426051739952,4.50751111863863,5.36823273059832
"Jan 2024",4.9629000674007,4.48198553385649,5.48695627755364
"Feb 2024",5.04448087474569,4.49954825906477,5.62926575521871
"Mar 2024",5.12887783063255,4.53364500794215,5.7863134202668
"Apr 2024",5.17243444418744,4.51961038836013,5.88910627878367
"May 2024",5.19720412631636,4.49761911817575,5.98685313727103
"Jun 2024",5.21287417624411,4.45967439121131,6.05801492040653
