"Index","forecast","lower","upper"
"Dec 2022",2.79224283317063,2.66322191111242,2.92126375522883
"Jan 2023",2.9992543001832,2.80599926388125,3.19250933648516
"Feb 2023",3.22768676296411,2.9685091742479,3.48686435168032
"Mar 2023",3.44306224279869,3.10988117654538,3.77624330905201
"Apr 2023",3.61616426066149,3.21310720214615,4.01922131917683
"May 2023",3.75017428430873,3.27924166220641,4.22110690641105
"Jun 2023",3.86280560390998,3.31971856485514,4.40589264296481
"Jul 2023",3.94537916061635,3.34024749147392,4.55051082975878
"Aug 2023",4.02354308835772,3.35911506010231,4.68797111661314
"Sep 2023",4.10925128603097,3.3814765970262,4.83702597503574
"Oct 2023",4.17917479611925,3.39690300865331,4.96144658358519
"Nov 2023",4.23980920180523,3.40540456168267,5.0742138419278
