"Index","forecast","lower","upper"
"Nov 2022",2.78394695440576,2.67214020678588,2.89575370202565
"Dec 2022",3.00263525310013,2.82809698411665,3.17717352208362
"Jan 2023",3.23909704549788,2.99568948910668,3.48250460188908
"Feb 2023",3.43203680722295,3.1177110204241,3.7463625940218
"Mar 2023",3.57489323373853,3.18269460054707,3.96709186693
"Apr 2023",3.64916410968626,3.18194012856535,4.11638809080716
"May 2023",3.65286063953296,3.11448385808185,4.19123742098407
"Jun 2023",3.63368342234525,3.02834518793667,4.23902165675384
"Jul 2023",3.6201326050208,2.9510012625931,4.28926394744849
"Aug 2023",3.61624662033348,2.88630381945928,4.34618942120768
"Sep 2023",3.61381651786812,2.82579075462363,4.40184228111261
"Oct 2023",3.59788949094966,2.7548317996947,4.44094718220462
