"Mar 2025",4.25110062375344,4.16856964964029,4.33715868844066
"Apr 2025",4.16367460209766,4.02151255647634,4.3128398191964
"May 2025",4.08984742244877,3.88513724995831,4.30433118345209
"Jun 2025",4.0512562489718,3.78666623064908,4.32923740811679
"Jul 2025",4.01139184623388,3.68575876409256,4.36265728281159
"Aug 2025",3.97474517210663,3.57767466538113,4.39622833215819
"Sep 2025",3.940050258711,3.47976837296252,4.426027789765
"Oct 2025",3.90858860032609,3.39077760998257,4.45739190032038
"Nov 2025",3.87774037196144,3.30417388315581,4.49280114846025
"Dec 2025",3.81219762161641,3.18111870362615,4.47985807009438
"Jan 2026",3.79001640982708,3.1028349035008,4.51304867360463
"Feb 2026",3.76059692343462,3.03785424144275,4.54847358102475
