"Index","forecast","lower","upper"
"Sep 2023",4.13976858991216,4.07140654865871,4.22181848029748
"Oct 2023",4.19638834886728,4.06868851097508,4.33519894571348
"Nov 2023",4.18808759781266,4.00586310342697,4.42012386435133
"Dec 2023",4.16768355875328,3.91212240792863,4.43630992960031
"Jan 2024",4.11965265855437,3.8073215473818,4.46018707797363
"Feb 2024",4.11542092213435,3.75607311624978,4.52133749834722
"Mar 2024",4.13109721790736,3.71708297927888,4.59111940248143
"Apr 2024",4.13446780680789,3.6795001641328,4.65604140477764
"May 2024",4.13802465975696,3.62894482731509,4.71987001456533
"Jun 2024",4.16190747205211,3.60623201218704,4.79136780976205
"Jul 2024",4.15919061833632,3.54647934148737,4.8344575699406
"Aug 2024",4.17260043683438,3.5244493148592,4.8985765358179
