"Index","forecast","lower","upper"
"Jul 2023",4.21724278167617,4.1350131442126,4.31588607794974
"Aug 2023",4.42405619174566,4.26853491865807,4.58971456142842
"Sep 2023",4.59054646328865,4.37435574593406,4.81718372951436
"Oct 2023",4.73492477643457,4.45982525022381,5.02991815104154
"Nov 2023",4.80631640001603,4.45337236456613,5.17539176728235
"Dec 2023",4.87781960176743,4.46379964153922,5.32106326733589
"Jan 2024",4.91267772061234,4.43065072964442,5.43190475914357
"Feb 2024",4.99549276128286,4.45905634709797,5.58565799384676
"Mar 2024",5.08225181596258,4.4838322508567,5.73019095901304
"Apr 2024",5.12741029273595,4.47704010213363,5.83833232026218
"May 2024",5.15497176064196,4.456283613177,5.93736596560255
"Jun 2024",5.17087903183412,4.41919388293852,6.00773079217028
