"Index","forecast","lower","upper"
"Mar 2023",3.53989380807739,3.41097225583268,3.6688153603221
"Apr 2023",3.68347752502123,3.49059101879493,3.87636403124753
"May 2023",3.80632357940894,3.53934992924574,4.07329722957214
"Jun 2023",3.90187211282416,3.56787898936605,4.23586523628228
"Jul 2023",3.9757898630467,3.57129395807126,4.38028576802215
"Aug 2023",4.0514448392722,3.57095350237722,4.53193617616717
"Sep 2023",4.11221282614138,3.5660202432382,4.65840540904456
"Oct 2023",4.16988845086718,3.56082863329737,4.77894826843698
"Nov 2023",4.22785508028869,3.55169347359674,4.90401668698063
"Dec 2023",4.27932317375782,3.54547725616548,5.01316909135016
"Jan 2024",4.33498317474208,3.53938029579098,5.13058605369319
"Feb 2024",4.3868786333116,3.53849475003705,5.23526251658616
